,posX_passer,posY_passer,received_PosX,received_PosY,isForward,isSucceeded,receiverId,Player_id,Team,matchDuration,Time block,Zone,Area Football Pitch,Angle Passe,Pass type,Pass length,Playing direction_first half,Playing direction_second half,Pressure level,Distance to first opponent,Outpassed opponents,total_passes,pass_day,pass_hour,pass_minute,pass_second,start_day,start_hour,start_minute,time_process_hour,time_process_minute,time_process_second
114,78,21,85,30,0,1,95579.0,95601,0,66.22186666666667,3,1,4,2.231839495645583,1,0.236798889881903,0,0,0,0.3735908953653474,0,58,5,12,2,50,5,11,36,0,26,37
115,56,17,48,19,1,1,95988.0,95601,0,66.22186666666667,3,2,7,0.2449786631268642,0,-0.207222833412141,0,0,1,-0.22391579796511601,1,58,5,12,3,23,5,11,36,0,27,10
116,48,11,37,15,1,1,95602.0,95601,0,66.22186666666667,3,2,10,0.3487710035839067,0,0.2652838681602032,0,0,1,-0.5302634813386867,0,58,5,12,4,1,5,11,36,0,27,48
117,26,39,20,42,1,0,,95601,0,66.22186666666667,3,0,14,0.4636476090008061,0,-0.5939395388892443,0,0,2,-1.9681650597944,1,58,5,12,4,14,5,11,36,0,28,1
118,63,29,47,35,1,0,,95601,0,66.22186666666667,3,2,8,0.3587706702705722,0,0.7463509261747354,0,0,0,0.5134914249316125,0,58,5,12,5,19,5,11,36,0,29,6
119,21,25,12,26,1,1,95597.0,95601,0,66.22186666666667,4,0,14,0.1106572211738954,0,-0.08289637816794465,0,0,0,0.7099274690002374,0,58,5,12,10,47,5,11,36,0,34,34
120,28,10,7,20,1,0,,95601,0,66.22186666666667,4,0,13,0.4444192099010986,0,1.1616013889340056,0,0,1,-0.06402672253786497,1,58,5,12,12,13,5,11,36,0,36,0
121,58,34,70,31,0,1,95595.0,95601,0,66.22186666666667,4,2,8,2.896613990462929,2,0.34548507371979836,0,0,0,0.5731153914071752,0,58,5,12,13,23,5,11,36,0,37,10
122,63,37,57,8,0,1,95585.0,95601,0,66.22186666666667,4,2,8,1.366778347202348,1,1.5805181156401202,0,0,1,-0.2743914878600369,0,58,5,12,13,32,5,11,36,0,37,19
123,29,21,3,13,1,1,95597.0,95601,0,66.22186666666667,4,0,13,0.2984989315861792,0,1.3978365289711037,0,0,1,-0.7613526744643049,0,58,5,12,13,57,5,11,36,0,37,44
